pharmacy_key,pharmacy_name,city,address,phones_str,phones_json
ph_b68604293ba5,NOTRE DAME IMMACULEE CONCEPTION,Gagnoa,FACE CLINIQUE FROMAGER,27 32 77 24 88,"[""27 32 77 24 88""]"
ph_443c15126475,PRINCIPALE,Gagnoa,FACE SOCOCE,27 32 77 23 16,"[""27 32 77 23 16""]"
ph_ed98141175e5,ST FRANCOIS D'ASSISE,Gagnoa,QUARTIER SOLEIL,27 32 77 77 93,"[""27 32 77 77 93""]"
ph_20059452fb32,STE PAULINE,Gagnoa,FACE PREFECTURE,27 32 77 25 62 / 27 32 77 29 64 / 01 01 45 67 14,"[""27 32 77 25 62"", ""27 32 77 29 64"", ""01 01 45 67 14""]"
ph_857fb6914728,COLOMBE,Grand-Bassam,,27 21 30 38 52,"[""27 21 30 38 52""]"
ph_53a58dba0683,DU MARCHE DE GRAND BASSAM,Grand-Bassam,,27 21 30 18 13,"[""27 21 30 18 13""]"
ph_619f64dfe142,ELOÏTE,Grand-Bassam,,07 07 32 95 98,"[""07 07 32 95 98""]"
ph_3b4ad3fd3e42,JLOG,Grand-Bassam,,07 76 35 35 36,"[""07 76 35 35 36""]"
ph_71d53ec12986,LE REEL,Grand-Bassam,,27 21 30 33 47,"[""27 21 30 33 47""]"
ph_37fb89cf82f4,LEANA,Grand-Bassam,,07 97 01 84 64,"[""07 97 01 84 64""]"
ph_3732fdb5e725,MOCKEYVILLE,Grand-Bassam,,07 99 44 78 46,"[""07 99 44 78 46""]"
ph_18431136f7c2,PETIT MARCHE,Grand-Bassam,,27 21 30 30 05,"[""27 21 30 30 05""]"
ph_475ffef96632,QUARTIER AIR FRANCE,Grand-Bassam,,27 21 31 21 83,"[""27 21 31 21 83""]"
